Trace1,
Freq,,Amp,,
           103666563,Hz,              -80.57, dBm,
           103999896,Hz,              -81.44, dBm,
           104333229,Hz,              -80.09, dBm,
           104666562,Hz,              -78.77, dBm,
           104999895,Hz,              -32.66, dBm,
           105333228,Hz,              -80.08, dBm,
           105666561,Hz,              -81.22, dBm,
           105999894,Hz,              -79.90, dBm,
           106333227,Hz,              -80.44, dBm,
           106666560,Hz,              -78.50, dBm,
           106999893,Hz,              -80.60, dBm,
           107333226,Hz,              -80.62, dBm,
           107666559,Hz,              -81.04, dBm,
           107999892,Hz,              -80.66, dBm,
           108333225,Hz,              -80.38, dBm,
           108666558,Hz,              -82.49, dBm,
           108999891,Hz,              -81.70, dBm,
           109333224,Hz,              -80.73, dBm,
           109666557,Hz,              -79.58, dBm,
           109999890,Hz,              -32.71, dBm,
           110333223,Hz,              -80.06, dBm,
           110666556,Hz,              -81.28, dBm,
           110999889,Hz,              -81.75, dBm,
           111333222,Hz,              -77.82, dBm,
           111666555,Hz,              -79.45, dBm,
           111999888,Hz,              -81.25, dBm,
           112333221,Hz,              -81.08, dBm,
           112666554,Hz,              -80.70, dBm,
           112999887,Hz,              -79.99, dBm,
           113333220,Hz,              -79.40, dBm,
           113666553,Hz,              -80.40, dBm,
           113999886,Hz,              -79.94, dBm,
           114333219,Hz,              -79.56, dBm,
           114666552,Hz,              -76.51, dBm,
           114999885,Hz,              -32.78, dBm,
           115333218,Hz,              -79.29, dBm,
           115666551,Hz,              -83.25, dBm,
           115999884,Hz,              -78.81, dBm,
           116333217,Hz,              -79.61, dBm,
           116666550,Hz,              -80.72, dBm,
           116999883,Hz,              -80.21, dBm,
           117333216,Hz,              -81.49, dBm,
           117666549,Hz,              -80.87, dBm,
           117999882,Hz,              -80.42, dBm,
           118333215,Hz,              -81.10, dBm,
           118666548,Hz,              -80.08, dBm,
           118999881,Hz,              -81.58, dBm,
           119333214,Hz,              -79.45, dBm,
           119666547,Hz,              -76.08, dBm,
           119999880,Hz,              -33.38, dBm,
           120333213,Hz,              -79.89, dBm,
           120666546,Hz,              -81.33, dBm,
           120999879,Hz,              -80.22, dBm,
           121333212,Hz,              -81.94, dBm,
           121666545,Hz,              -81.00, dBm,
           121999878,Hz,              -79.37, dBm,
           122333211,Hz,              -79.17, dBm,
           122666544,Hz,              -80.40, dBm,
           122999877,Hz,              -79.97, dBm,
           123333210,Hz,              -80.30, dBm,
           123666543,Hz,              -81.48, dBm,
           123999876,Hz,              -81.14, dBm,
           124333209,Hz,              -77.77, dBm,
           124666542,Hz,              -78.29, dBm,
           124999875,Hz,              -34.33, dBm,
           125333208,Hz,              -80.13, dBm,
           125666541,Hz,              -81.15, dBm,
           125999874,Hz,              -81.62, dBm,
           126333207,Hz,              -78.49, dBm,
           126666540,Hz,              -81.30, dBm,
           126999873,Hz,              -81.48, dBm,
           127333206,Hz,              -78.57, dBm,
           127666539,Hz,              -80.06, dBm,
           127999872,Hz,              -78.07, dBm,
           128333205,Hz,              -79.99, dBm,
           128666538,Hz,              -81.24, dBm,
           128999871,Hz,              -84.18, dBm,
           129333204,Hz,              -79.67, dBm,
           129666537,Hz,              -75.96, dBm,
           129999870,Hz,              -35.11, dBm,
           130333203,Hz,              -82.15, dBm,
           130666536,Hz,              -79.46, dBm,
           130999869,Hz,              -80.44, dBm,
           131333202,Hz,              -78.74, dBm,
           131666535,Hz,              -79.39, dBm,
           131999868,Hz,              -79.15, dBm,
           132333201,Hz,              -81.32, dBm,
           132666534,Hz,              -81.20, dBm,
           132999867,Hz,              -82.51, dBm,
           133333200,Hz,              -83.63, dBm,
           133666533,Hz,              -81.24, dBm,
           133999866,Hz,              -81.09, dBm,
           134333199,Hz,              -80.59, dBm,
           134666532,Hz,              -78.00, dBm,
           134999865,Hz,              -35.27, dBm,
           135333198,Hz,              -81.61, dBm,
           135666531,Hz,              -80.11, dBm,
           135999864,Hz,              -79.85, dBm,
           136333197,Hz,              -81.41, dBm,
           136666530,Hz,              -81.29, dBm,
           136999863,Hz,              -80.97, dBm,
           137333196,Hz,              -79.87, dBm,
           137666529,Hz,              -80.19, dBm,
           137999862,Hz,              -80.49, dBm,
           138333195,Hz,              -80.25, dBm,
           138666528,Hz,              -80.64, dBm,
           138999861,Hz,              -81.44, dBm,
           139333194,Hz,              -80.51, dBm,
           139666527,Hz,              -80.06, dBm,
           139999860,Hz,              -35.01, dBm,
           140333193,Hz,              -78.39, dBm,
           140666526,Hz,              -81.02, dBm,
           140999859,Hz,              -80.72, dBm,
           141333192,Hz,              -80.09, dBm,
           141666525,Hz,              -79.06, dBm,
           141999858,Hz,              -78.93, dBm,
           142333191,Hz,              -79.28, dBm,
           142666524,Hz,              -81.32, dBm,
           142999857,Hz,              -79.18, dBm,
           143333190,Hz,              -80.49, dBm,
           143666523,Hz,              -79.08, dBm,
           143999856,Hz,              -79.84, dBm,
           144333189,Hz,              -82.35, dBm,
           144666522,Hz,              -78.96, dBm,
           144999855,Hz,              -34.89, dBm,
           145333188,Hz,              -81.13, dBm,
           145666521,Hz,              -81.14, dBm,
           145999854,Hz,              -81.44, dBm,
           146333187,Hz,              -80.84, dBm,
           146666520,Hz,              -80.46, dBm,
           146999853,Hz,              -81.63, dBm,
           147333186,Hz,              -81.71, dBm,
           147666519,Hz,              -79.71, dBm,
           147999852,Hz,              -78.94, dBm,
           148333185,Hz,              -80.56, dBm,
           148666518,Hz,              -80.95, dBm,
           148999851,Hz,              -81.04, dBm,
           149333184,Hz,              -80.97, dBm,
           149666517,Hz,              -80.17, dBm,
           149999850,Hz,              -35.49, dBm,
           150333183,Hz,              -81.84, dBm,
           150666516,Hz,              -79.91, dBm,
           150999849,Hz,              -82.11, dBm,
           151333182,Hz,              -81.93, dBm,
           151666515,Hz,              -81.55, dBm,
           151999848,Hz,              -81.12, dBm,
           152333181,Hz,              -80.46, dBm,
           152666514,Hz,              -79.55, dBm,
           152999847,Hz,              -81.13, dBm,
           153333180,Hz,              -82.44, dBm,
           153666513,Hz,              -79.43, dBm,
           153999846,Hz,              -80.18, dBm,
           154333179,Hz,              -78.74, dBm,
           154666512,Hz,              -81.42, dBm,
           154999845,Hz,              -36.34, dBm,
           155333178,Hz,              -82.65, dBm,
           155666511,Hz,              -80.70, dBm,
           155999844,Hz,              -79.21, dBm,
           156333177,Hz,              -81.06, dBm,
           156666510,Hz,              -81.32, dBm,
           156999843,Hz,              -80.56, dBm,
           157333176,Hz,              -79.85, dBm,
           157666509,Hz,              -82.86, dBm,
           157999842,Hz,              -82.58, dBm,
           158333175,Hz,              -80.23, dBm,
           158666508,Hz,              -81.45, dBm,
           158999841,Hz,              -80.13, dBm,
           159333174,Hz,              -80.39, dBm,
           159666507,Hz,              -79.48, dBm,
           159999840,Hz,              -36.99, dBm,
           160333173,Hz,              -80.29, dBm,
           160666506,Hz,              -79.21, dBm,
           160999839,Hz,              -80.65, dBm,
           161333172,Hz,              -82.96, dBm,
           161666505,Hz,              -81.86, dBm,
