Trace1,
Freq,,Amp,,
           132366835,Hz,              -82.16, dBm,
           132700001,Hz,              -79.81, dBm,
           133033167,Hz,              -81.39, dBm,
           133366333,Hz,              -80.84, dBm,
           133699499,Hz,              -80.37, dBm,
           134032665,Hz,              -80.91, dBm,
           134365831,Hz,              -79.11, dBm,
           134698997,Hz,              -81.19, dBm,
           135032163,Hz,              -80.77, dBm,
           135365329,Hz,              -81.41, dBm,
           135698495,Hz,              -81.32, dBm,
           136031661,Hz,              -82.41, dBm,
           136364827,Hz,              -78.42, dBm,
           136697993,Hz,              -79.34, dBm,
           137031159,Hz,              -80.54, dBm,
           137364325,Hz,              -79.11, dBm,
           137697491,Hz,              -82.03, dBm,
           138030657,Hz,              -80.99, dBm,
           138363823,Hz,              -81.00, dBm,
           138696989,Hz,              -81.14, dBm,
           139030155,Hz,              -81.68, dBm,
           139363321,Hz,              -78.74, dBm,
           139696487,Hz,              -78.35, dBm,
           140029653,Hz,              -78.80, dBm,
           140362819,Hz,              -79.35, dBm,
           140695985,Hz,              -81.80, dBm,
           141029151,Hz,              -80.19, dBm,
           141362317,Hz,              -81.12, dBm,
           141695483,Hz,              -79.60, dBm,
           142028649,Hz,              -76.83, dBm,
           142361815,Hz,              -80.56, dBm,
           142694981,Hz,              -82.74, dBm,
           143028147,Hz,              -81.85, dBm,
           143361313,Hz,              -78.40, dBm,
           143694479,Hz,              -80.71, dBm,
           144027645,Hz,              -82.17, dBm,
           144360811,Hz,              -82.24, dBm,
           144693977,Hz,              -80.87, dBm,
           145027143,Hz,              -83.56, dBm,
           145360309,Hz,              -80.94, dBm,
           145693475,Hz,              -81.67, dBm,
           146026641,Hz,              -78.34, dBm,
           146359807,Hz,              -80.91, dBm,
           146692973,Hz,              -80.60, dBm,
           147026139,Hz,              -80.86, dBm,
           147359305,Hz,              -82.09, dBm,
           147692471,Hz,              -81.36, dBm,
           148025637,Hz,              -81.79, dBm,
           148358803,Hz,              -80.15, dBm,
           148691969,Hz,              -80.95, dBm,
           149025135,Hz,              -80.86, dBm,
           149358301,Hz,              -80.76, dBm,
           149691467,Hz,              -80.52, dBm,
           150024633,Hz,              -78.55, dBm,
           150357799,Hz,              -78.89, dBm,
           150690965,Hz,              -80.65, dBm,
           151024131,Hz,              -79.96, dBm,
           151357297,Hz,              -81.02, dBm,
           151690463,Hz,              -76.91, dBm,
           152023629,Hz,              -79.82, dBm,
           152356795,Hz,              -79.92, dBm,
           152689961,Hz,              -80.01, dBm,
           153023127,Hz,              -80.04, dBm,
           153356293,Hz,              -81.63, dBm,
           153689459,Hz,              -81.62, dBm,
           154022625,Hz,              -80.14, dBm,
           154355791,Hz,              -79.52, dBm,
           154688957,Hz,              -79.77, dBm,
           155022123,Hz,              -79.52, dBm,
           155355289,Hz,              -80.61, dBm,
           155688455,Hz,              -81.69, dBm,
           156021621,Hz,              -81.89, dBm,
           156354787,Hz,              -80.14, dBm,
           156687953,Hz,              -79.88, dBm,
           157021119,Hz,              -81.06, dBm,
           157354285,Hz,              -80.75, dBm,
           157687451,Hz,              -80.00, dBm,
           158020617,Hz,              -81.08, dBm,
           158353783,Hz,              -80.22, dBm,
           158686949,Hz,              -81.21, dBm,
           159020115,Hz,              -80.97, dBm,
           159353281,Hz,              -81.37, dBm,
           159686447,Hz,              -79.26, dBm,
           160019613,Hz,              -80.51, dBm,
           160352779,Hz,              -80.30, dBm,
           160685945,Hz,              -81.04, dBm,
           161019111,Hz,              -81.48, dBm,
           161352277,Hz,              -80.12, dBm,
           161685443,Hz,              -79.20, dBm,
           162018609,Hz,              -81.01, dBm,
           162351775,Hz,              -81.49, dBm,
           162684941,Hz,              -80.80, dBm,
           163018107,Hz,              -79.32, dBm,
